DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
2014-05-01T00:00:00,2006-06-01T00:00:00,Arrival,International,Commuter,1436
2014-05-01T00:00:00,2006-06-01T00:00:00,Arrival,International,Scheduled Carriers,725426
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,Domestic,Charter,600
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,Domestic,Commuter,165153
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,Domestic,Scheduled Carriers,1848219
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,International,Commuter,1689
2014-05-01T00:00:00,2006-06-01T00:00:00,Departure,International,Scheduled Carriers,786572
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,Domestic,Charter,295
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,Domestic,Commuter,171685
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1951129
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,International,Charter,280
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,International,Commuter,1603
2014-05-01T00:00:00,2006-07-01T00:00:00,Arrival,International,Scheduled Carriers,866526
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,Domestic,Charter,290
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,Domestic,Commuter,169418
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,Domestic,Scheduled Carriers,1943764
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,International,Commuter,1589
2014-05-01T00:00:00,2006-07-01T00:00:00,Departure,International,Scheduled Carriers,813144
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,Domestic,Charter,124
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,Domestic,Commuter,162122
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1879821
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,International,Charter,127
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,International,Commuter,1001
2014-05-01T00:00:00,2006-08-01T00:00:00,Arrival,International,Scheduled Carriers,840270
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,Domestic,Charter,664
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,Domestic,Commuter,163622
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,Domestic,Scheduled Carriers,1922139
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,International,Commuter,1423
2014-05-01T00:00:00,2006-08-01T00:00:00,Departure,International,Scheduled Carriers,773930
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,Domestic,Charter,1720
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,Domestic,Commuter,162552
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1543233
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,International,Charter,35
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,International,Commuter,1061
2014-05-01T00:00:00,2006-09-01T00:00:00,Arrival,International,Scheduled Carriers,659658
2014-05-01T00:00:00,2006-09-01T00:00:00,Departure,Domestic,Charter,912
2014-05-01T00:00:00,2006-09-01T00:00:00,Departure,Domestic,Commuter,155142
2014-05-01T00:00:00,2006-09-01T00:00:00,Departure,Domestic,Scheduled Carriers,1522862
2014-05-01T00:00:00,2006-09-01T00:00:00,Departure,International,Commuter,1274
2014-05-01T00:00:00,2006-09-01T00:00:00,Departure,International,Scheduled Carriers,659534
2014-05-01T00:00:00,2006-10-01T00:00:00,Arrival,Domestic,Charter,1708
2014-05-01T00:00:00,2006-10-01T00:00:00,Arrival,Domestic,Commuter,174781
2014-05-01T00:00:00,2006-10-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1630224
2014-05-01T00:00:00,2006-10-01T00:00:00,Arrival,International,Charter,59
2014-05-01T00:00:00,2006-10-01T00:00:00,Arrival,International,Commuter,1333
2014-05-01T00:00:00,2006-10-01T00:00:00,Arrival,International,Scheduled Carriers,633220
2014-05-01T00:00:00,2006-10-01T00:00:00,Departure,Domestic,Charter,2203
2014-05-01T00:00:00,2006-10-01T00:00:00,Departure,Domestic,Commuter,168738
2014-05-01T00:00:00,2006-10-01T00:00:00,Departure,Domestic,Scheduled Carriers,1620376
2014-05-01T00:00:00,2006-10-01T00:00:00,Departure,International,Commuter,1604
2014-05-01T00:00:00,2006-10-01T00:00:00,Departure,International,Scheduled Carriers,664175
2014-05-01T00:00:00,2006-11-01T00:00:00,Arrival,Domestic,Charter,2248
2014-05-01T00:00:00,2006-11-01T00:00:00,Arrival,Domestic,Commuter,160948
2014-05-01T00:00:00,2006-11-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1640008
2014-05-01T00:00:00,2006-11-01T00:00:00,Arrival,International,Charter,431
2014-05-01T00:00:00,2006-11-01T00:00:00,Arrival,International,Commuter,1377
2014-05-01T00:00:00,2006-11-01T00:00:00,Arrival,International,Scheduled Carriers,606061
2014-05-01T00:00:00,2006-11-01T00:00:00,Departure,Domestic,Charter,2075
2014-05-01T00:00:00,2006-11-01T00:00:00,Departure,Domestic,Commuter,155248
2014-05-01T00:00:00,2006-11-01T00:00:00,Departure,Domestic,Scheduled Carriers,1638140
2014-05-01T00:00:00,2006-11-01T00:00:00,Departure,International,Charter,172
2014-05-01T00:00:00,2006-11-01T00:00:00,Departure,International,Commuter,1531
2014-05-01T00:00:00,2006-11-01T00:00:00,Departure,International,Scheduled Carriers,616820
2014-05-01T00:00:00,2006-12-01T00:00:00,Arrival,Domestic,Charter,2497
2014-05-01T00:00:00,2006-12-01T00:00:00,Arrival,Domestic,Commuter,166309
2014-05-01T00:00:00,2006-12-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1657818
2014-05-01T00:00:00,2006-12-01T00:00:00,Arrival,International,Charter,310
2014-05-01T00:00:00,2006-12-01T00:00:00,Arrival,International,Commuter,1206
2014-05-01T00:00:00,2006-12-01T00:00:00,Arrival,International,Scheduled Carriers,656826
2014-05-01T00:00:00,2006-12-01T00:00:00,Departure,Domestic,Charter,919
2014-05-01T00:00:00,2006-12-01T00:00:00,Departure,Domestic,Commuter,157225
2014-05-01T00:00:00,2006-12-01T00:00:00,Departure,Domestic,Scheduled Carriers,1703031
2014-05-01T00:00:00,2006-12-01T00:00:00,Departure,International,Charter,280
2014-05-01T00:00:00,2006-12-01T00:00:00,Departure,International,Commuter,1501
2014-05-01T00:00:00,2006-12-01T00:00:00,Departure,International,Scheduled Carriers,724410
2014-05-01T00:00:00,2007-01-01T00:00:00,Arrival,Domestic,Charter,1036
2014-05-01T00:00:00,2007-01-01T00:00:00,Arrival,Domestic,Commuter,157832
2014-05-01T00:00:00,2007-01-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1565931
2014-05-01T00:00:00,2007-01-01T00:00:00,Arrival,International,Charter,229
2014-05-01T00:00:00,2007-01-01T00:00:00,Arrival,International,Commuter,4379
2014-05-01T00:00:00,2007-01-01T00:00:00,Arrival,International,Scheduled Carriers,718536
2014-05-01T00:00:00,2007-01-01T00:00:00,Departure,Domestic,Charter,2909
2014-05-01T00:00:00,2007-01-01T00:00:00,Departure,Domestic,Commuter,158800
2014-05-01T00:00:00,2007-01-01T00:00:00,Departure,Domestic,Scheduled Carriers,1519278
2014-05-01T00:00:00,2007-01-01T00:00:00,Departure,International,Charter,345
2014-05-01T00:00:00,2007-01-01T00:00:00,Departure,International,Commuter,4707
2014-05-01T00:00:00,2007-01-01T00:00:00,Departure,International,Scheduled Carriers,671834
2014-05-01T00:00:00,2007-02-01T00:00:00,Arrival,Domestic,Charter,359
2014-05-01T00:00:00,2007-02-01T00:00:00,Arrival,Domestic,Commuter,151408
2014-05-01T00:00:00,2007-02-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1425145
2014-05-01T00:00:00,2007-02-01T00:00:00,Arrival,International,Charter,581
2014-05-01T00:00:00,2007-02-01T00:00:00,Arrival,International,Commuter,3871
2014-05-01T00:00:00,2007-02-01T00:00:00,Arrival,International,Scheduled Carriers,577394
2014-05-01T00:00:00,2007-02-01T00:00:00,Departure,Domestic,Charter,294
2014-05-01T00:00:00,2007-02-01T00:00:00,Departure,Domestic,Commuter,146753
2014-05-01T00:00:00,2007-02-01T00:00:00,Departure,Domestic,Scheduled Carriers,1408990
2014-05-01T00:00:00,2007-02-01T00:00:00,Departure,International,Charter,577
2014-05-01T00:00:00,2007-02-01T00:00:00,Departure,International,Commuter,4025
2014-05-01T00:00:00,2007-02-01T00:00:00,Departure,International,Scheduled Carriers,585896
2014-05-01T00:00:00,2007-03-01T00:00:00,Arrival,Domestic,Charter,1410
2014-05-01T00:00:00,2007-03-01T00:00:00,Arrival,Domestic,Commuter,171970
2014-05-01T00:00:00,2007-03-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1724161
2014-05-01T00:00:00,2007-03-01T00:00:00,Arrival,International,Charter,462
2014-05-01T00:00:00,2007-03-01T00:00:00,Arrival,International,Commuter,4348
2014-05-01T00:00:00,2007-03-01T00:00:00,Arrival,International,Scheduled Carriers,700635
2014-05-01T00:00:00,2007-03-01T00:00:00,Departure,Domestic,Charter,1468
2014-05-01T00:00:00,2007-03-01T00:00:00,Departure,Domestic,Commuter,165666
2014-05-01T00:00:00,2007-03-01T00:00:00,Departure,Domestic,Scheduled Carriers,1766381
2014-05-01T00:00:00,2007-03-01T00:00:00,Departure,International,Charter,437
